,train_loss,train_acc,val_loss,cal_acc
0,0.6847943067550659,57.67639085198113,0.6762044231096903,52.44444444444445
1,0.6630767016183763,59.91149963166638,0.6610599358876547,59.138888888888886
2,0.6423285858971732,61.85620737707819,0.668852170308431,54.97222222222222
3,0.6347379656065077,68.40095352119219,0.6490103205045065,52.96527777777778
4,0.6080655767804101,68.70232196209993,0.6344987948735555,57.576388888888886
5,0.5874590533120292,72.01823123096075,0.655947764714559,63.38194444444445
6,0.5642423033714294,75.58273637065574,0.6339492797851562,55.49305555555555
7,0.54417798774583,70.8095444456803,0.6679620941480001,64.27083333333333
8,0.5164248843987783,77.36884551195654,0.5911858479181925,57.94444444444445
9,0.49501424602099825,76.05990726766643,0.5804077684879303,61.666666666666664
10,0.47002579484667095,80.47173099048075,0.6054932077725729,56.38194444444445
11,0.42660407367206754,83.09595799176707,0.6175964077313741,64.4861111111111
12,0.41328378802254084,82.48829556380788,0.5863144199053446,69.9861111111111
13,0.38583118716875714,84.06596044137049,0.6145850817362467,69.02083333333333
14,0.37858155085926964,81.52430024534799,0.5259937842686971,68.86805555555556
15,0.3363713508560544,86.90525459340321,0.5081989467144012,72.4375
16,0.3071831344139008,86.54521420135545,0.5923097928365072,71.91666666666667
17,0.2921420271907534,88.38178231612811,0.5030010938644409,70.35416666666667
18,0.2560065197093146,90.83640921348827,0.538604070742925,73.25
19,0.2516568721759887,91.06577162825026,0.5226006905237833,79.86805555555556
20,0.2281384982523464,91.52566800166016,0.6651588280995687,74.96527777777777
21,0.1950346575606437,91.77442837813572,0.6691742936770121,78.38194444444444
22,0.1936158835887909,93.07919654584566,0.6144949694474539,76.89583333333333
23,0.1459639072418213,95.31335398472571,0.5899037420749664,76.2986111111111
24,0.1404337781880583,96.87449255969574,0.48366013169288635,80.75694444444444
25,0.12133133801675978,96.83521915866032,0.527251144250234,79.79166666666667
26,0.11793896609119006,98.33338496759606,0.43489890297253925,82.09027777777777
27,0.09569346390309788,98.51446692181123,0.49629318714141846,79.34722222222223
28,0.08226265297049568,98.59343331588141,0.4573259601990382,76.59027777777777
29,0.08489346663866724,98.0395439641958,0.45072101304928464,85.1388888888889
